hey_commuter-Joanna-strong_high_pitch-polly.wav, hey commuter, commuter
hey_commuter-Matthew-weak_low_pitch-polly.wav, hey commuter, commuter
hey_commuter-Brian-strong_fast-polly.wav, hey commuter, UNK
hey_commuter-Ivy-strong_slow-polly.wav, hey commuter, hay comida
hey_commuter-Salli-fast_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Geraint-weak_low_pitch-polly.wav, hey commuter, tetrameter
hey_commuter-Kendra-weak_slow-polly.wav, hey commuter, the commuter
hey_commuter-Matthew-weak_fast-polly.wav, hey commuter, take me to
hey_commuter-Kendra-weak_low_pitch-polly.wav, hey commuter, play Candy.
hey_commuter-Emma-strong_low_pitch-polly.wav, hey commuter, commuter
hey_commuter-Nicole-fast_high_pitch-polly.wav, hey commuter, taking you
hey_commuter-Amy-fast_low_pitch-polly.wav, hey commuter, the commuter
hey_commuter-Matthew-strong_fast-polly.wav, hey commuter, take me to
hey_commuter-Nicole-weak_slow-polly.wav, hey commuter, tachymeter
hey_commuter-Russell-fast_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Nicole-slow_high_pitch-polly.wav, hey commuter, Haitian music
hey_commuter-Kimberly-weak_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Joanna-slow_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Kimberly-weak_fast-polly.wav, hey commuter, UNK
hey_commuter-Salli-weak_high_pitch-polly.wav, hey commuter, altimeter
hey_commuter-Joanna-fast_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Amy-slow_low_pitch-polly.wav, hey commuter, the commuter
hey_commuter-Joey-weak_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Emma-fast_high_pitch-polly.wav, hey commuter, que camisa
hey_commuter-Salli-slow_low_pitch-polly.wav, hey commuter, a commuter
hey_commuter-Salli-slow_high_pitch-polly.wav, hey commuter, a commuter
hey_commuter-Joanna-weak_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Emma-weak_fast-polly.wav, hey commuter, UNK
hey_commuter-Nicole-strong_high_pitch-polly.wav, hey commuter, taking me to
hey_commuter-Amy-weak_fast-polly.wav, hey commuter, UNK
hey_commuter-Matthew-strong_low_pitch-polly.wav, hey commuter, commuter
hey_commuter-Joey-strong_slow-polly.wav, hey commuter, UNK
hey_commuter-Joanna-strong_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Ivy-strong_fast-polly.wav, hey commuter, hegemony
hey_commuter-Matthew-fast_low_pitch-polly.wav, hey commuter, Okay computer
hey_commuter-Justin-weak_high_pitch-polly.wav, hey commuter, hey can you
hey_commuter-Emma-weak_high_pitch-polly.wav, hey commuter, how to make
hey_commuter-Salli-weak_low_pitch-polly.wav, hey commuter, altimeter
hey_commuter-Joey-weak_slow-polly.wav, hey commuter, UNK
hey_commuter-Salli-fast_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Justin-strong_slow-polly.wav, hey commuter, hey Google
hey_commuter-Joanna-fast_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Joey-fast_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Nicole-weak_fast-polly.wav, hey commuter, hazard
hey_commuter-Amy-weak_high_pitch-polly.wav, hey commuter, the commuter
hey_commuter-Ivy-weak_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Joanna-strong_fast-polly.wav, hey commuter, UNK
hey_commuter-Russell-strong_fast-polly.wav, hey commuter, UNK
hey_commuter-Emma-weak_low_pitch-polly.wav, hey commuter, akinesia
hey_commuter-Justin-slow_low_pitch-polly.wav, hey commuter, hey Google
hey_commuter-Emma-strong_high_pitch-polly.wav, hey commuter, commuter
hey_commuter-Nicole-weak_low_pitch-polly.wav, hey commuter, tachymeter
hey_commuter-Brian-strong_high_pitch-polly.wav, hey commuter, commuter
hey_commuter-Geraint-strong_slow-polly.wav, hey commuter, K2 meter
hey_commuter-Ivy-slow_low_pitch-polly.wav, hey commuter, Holy Communion
hey_commuter-Nicole-strong_low_pitch-polly.wav, hey commuter, telecommute
hey_commuter-Russell-weak_fast-polly.wav, hey commuter, UNK
hey_commuter-Brian-weak_high_pitch-polly.wav, hey commuter, commute
hey_commuter-Russell-fast_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Salli-strong_low_pitch-polly.wav, hey commuter, a commuter
hey_commuter-Kendra-strong_low_pitch-polly.wav, hey commuter, a computer
hey_commuter-Nicole-fast_low_pitch-polly.wav, hey commuter, Kashmir
hey_commuter-Amy-strong_fast-polly.wav, hey commuter, the commuter
hey_commuter-Justin-weak_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Kendra-fast_high_pitch-polly.wav, hey commuter, a computer
hey_commuter-Russell-slow_low_pitch-polly.wav, hey commuter, how to commute
hey_commuter-Joey-weak_fast-polly.wav, hey commuter, UNK
hey_commuter-Justin-strong_high_pitch-polly.wav, hey commuter, hey commute
hey_commuter-Kendra-strong_fast-polly.wav, hey commuter, UNK
hey_commuter-Geraint-weak_slow-polly.wav, hey commuter, kkandbabyj
hey_commuter-Kimberly-weak_slow-polly.wav, hey commuter, UNK
hey_commuter-Kendra-slow_high_pitch-polly.wav, hey commuter, hey community
hey_commuter-Geraint-slow_high_pitch-polly.wav, hey commuter, Peyton Beach
hey_commuter-Brian-fast_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Russell-weak_high_pitch-polly.wav, hey commuter, UNK
hey_commuter-Ivy-weak_slow-polly.wav, hey commuter, how to make
hey_commuter-Emma-weak_slow-polly.wav, hey commuter, commuter
hey_commuter-Justin-weak_fast-polly.wav, hey commuter, UNK
hey_commuter-Russell-weak_low_pitch-polly.wav, hey commuter, UNK
hey_commuter-Ivy-weak_fast-polly.wav, hey commuter, UNK
hey_commuter-Joanna-weak_slow-polly.wav, hey commuter, UNK
hey_commuter-Justin-weak_slow-polly.wav, hey commuter, UNK
hey_commuter-Emma-strong_fast-polly.wav, hey commuter, commuter
hey_commuter-Geraint-weak_high_pitch-polly.wav, hey commuter, kkandbabyj
hey_commuter-Kimberly-strong_slow-polly.wav, hey commuter, commuter
hey_commuter-Justin-fast_low_pitch-polly.wav, hey commuter, hey Google
hey_commuter-Nicole-strong_fast-polly.wav, hey commuter, Haitian music
hey_commuter-Joey-strong_low_pitch-polly.wav, hey commuter, Mega Mewtwo
hey_commuter-Amy-weak_slow-polly.wav, hey commuter, the commuter
lights_off-Emma-weak_fast-polly.wav, lights off, UNK
lights_off-Joanna-fast_low_pitch-polly.wav, lights off, UNK
lights_off-Geraint-fast_low_pitch-polly.wav, lights off, UNK
lights_off-Amy-strong_slow-polly.wav, lights off, UNK
lights_off-Nicole-strong_slow-polly.wav, lights off, UNK
lights_off-Emma-strong_low_pitch-polly.wav, lights off, UNK
lights_off-Amy-weak_slow-polly.wav, lights off, UNK
lights_off-Russell-strong_fast-polly.wav, lights off, UNK
lights_off-Justin-weak_low_pitch-polly.wav, lights off, UNK
lights_off-Ivy-fast_high_pitch-polly.wav, lights off, light off
lights_off-Joanna-weak_fast-polly.wav, lights off, UNK
lights_off-Russell-fast_high_pitch-polly.wav, lights off, UNK
lights_off-Joanna-weak_low_pitch-polly.wav, lights off, lights out
lights_off-Amy-strong_low_pitch-polly.wav, lights off, UNK
lights_off-Matthew-strong_slow-polly.wav, lights off, white sauce
lights_off-Emma-slow_low_pitch-polly.wav, lights off, UNK
lights_off-Brian-slow_high_pitch-polly.wav, lights off, next song
lights_off-Emma-weak_slow-polly.wav, lights off, UNK
lights_off-Ivy-fast_low_pitch-polly.wav, lights off, light off
lights_off-Justin-weak_high_pitch-polly.wav, lights off, UNK
lights_off-Ivy-weak_low_pitch-polly.wav, lights off, route
lights_off-Matthew-weak_fast-polly.wav, lights off, UNK
lights_off-Joanna-strong_high_pitch-polly.wav, lights off, lights out
lights_off-Joanna-strong_low_pitch-polly.wav, lights off, lights out
lights_off-Nicole-weak_fast-polly.wav, lights off, UNK
lights_off-Amy-slow_low_pitch-polly.wav, lights off, UNK
lights_off-Amy-weak_high_pitch-polly.wav, lights off, UNK
lights_off-Emma-strong_fast-polly.wav, lights off, UNK
lights_off-Emma-strong_slow-polly.wav, lights off, UNK
lights_off-Joanna-strong_fast-polly.wav, lights off, lights out
lights_off-Joanna-weak_slow-polly.wav, lights off, lights out
lights_off-Geraint-fast_high_pitch-polly.wav, lights off, UNK
lights_off-Emma-strong_high_pitch-polly.wav, lights off, UNK
lights_off-Nicole-strong_fast-polly.wav, lights off, UNK
lights_off-Joanna-slow_low_pitch-polly.wav, lights off, lights
lights_off-Emma-weak_high_pitch-polly.wav, lights off, UNK
lights_off-Brian-fast_high_pitch-polly.wav, lights off, UNK
lights_off-Geraint-weak_fast-polly.wav, lights off, UNK
lights_off-Justin-weak_fast-polly.wav, lights off, UNK
lights_off-Amy-fast_high_pitch-polly.wav, lights off, UNK
lights_off-Russell-strong_slow-polly.wav, lights off, black salt
lights_off-Amy-weak_low_pitch-polly.wav, lights off, UNK
lights_off-Joanna-slow_high_pitch-polly.wav, lights off, lights out
lights_off-Russell-strong_high_pitch-polly.wav, lights off, Microsoft
lights_off-Emma-fast_high_pitch-polly.wav, lights off, UNK
lights_off-Emma-fast_low_pitch-polly.wav, lights off, UNK
lights_off-Amy-slow_high_pitch-polly.wav, lights off, UNK
lights_off-Brian-strong_high_pitch-polly.wav, lights off, UNK
lights_off-Geraint-weak_high_pitch-polly.wav, lights off, UNK
lights_off-Emma-weak_low_pitch-polly.wav, lights off, UNK
lights_off-Russell-strong_low_pitch-polly.wav, lights off, Microsoft
lights_off-Ivy-weak_slow-polly.wav, lights off, lights
lights_off-Russell-weak_fast-polly.wav, lights off, UNK
lights_off-Geraint-strong_high_pitch-polly.wav, lights off, UNK
lights_off-Joanna-weak_high_pitch-polly.wav, lights off, lights out
lights_off-Geraint-slow_high_pitch-polly.wav, lights off, UNK
lights_off-Brian-strong_fast-polly.wav, lights off, UNK
lights_off-Geraint-strong_fast-polly.wav, lights off, UNK
lights_off-Geraint-strong_low_pitch-polly.wav, lights off, UNK
lights_off-Russell-fast_low_pitch-polly.wav, lights off, UNK
lights_off-Amy-strong_high_pitch-polly.wav, lights off, UNK
lights_off-Amy-strong_fast-polly.wav, lights off, UNK
lights_off-Brian-weak_high_pitch-polly.wav, lights off, Nike stock
lights_off-Justin-weak_slow-polly.wav, lights off, Alpha
lights_off-Ivy-weak_high_pitch-polly.wav, lights off, UNK
lights_off-Amy-weak_fast-polly.wav, lights off, UNK
lights_off-Emma-slow_high_pitch-polly.wav, lights off, UNK
lights_off-Brian-weak_low_pitch-polly.wav, lights off, Nike stock
lights_off-Nicole-strong_high_pitch-polly.wav, lights off, UNK
lights_off-Russell-weak_slow-polly.wav, lights off, UNK
lights_off-Geraint-strong_slow-polly.wav, lights off, UNK
lights_off-Amy-fast_low_pitch-polly.wav, lights off, UNK
lights_off-Ivy-weak_fast-polly.wav, lights off, UNK
lights_off-Brian-weak_slow-polly.wav, lights off, Nike stock
lights_on-Amy-fast_low_pitch-polly.wav, lights on, UNK
lights_on-Amy-weak_slow-polly.wav, lights on, UNK
lights_on-Russell-strong_slow-polly.wav, lights on, Black song
lights_on-Geraint-weak_high_pitch-polly.wav, lights on, UNK
lights_on-Amy-slow_low_pitch-polly.wav, lights on, UNK
lights_on-Geraint-strong_fast-polly.wav, lights on, UNK
lights_on-Nicole-fast_low_pitch-polly.wav, lights on, UNK
lights_on-Emma-weak_low_pitch-polly.wav, lights on, Knights
lights_on-Amy-fast_high_pitch-polly.wav, lights on, UNK
lights_on-Amy-slow_high_pitch-polly.wav, lights on, UNK
lights_on-Russell-weak_fast-polly.wav, lights on, UNK
lights_on-Justin-weak_slow-polly.wav, lights on, UNK
lights_on-Justin-strong_slow-polly.wav, lights on, UNK
lights_on-Brian-slow_high_pitch-polly.wav, lights on, UNK
lights_on-Russell-weak_slow-polly.wav, lights on, UNK
lights_on-Brian-strong_slow-polly.wav, lights on, Hearthstone
lights_on-Nicole-weak_low_pitch-polly.wav, lights on, UNK
lights_on-Joey-weak_low_pitch-polly.wav, lights on, UNK
lights_on-Ivy-fast_low_pitch-polly.wav, lights on, light on
lights_on-Russell-strong_fast-polly.wav, lights on, UNK
lights_on-Joey-fast_high_pitch-polly.wav, lights on, UNK
lights_on-Brian-fast_high_pitch-polly.wav, lights on, UNK
lights_on-Amy-strong_high_pitch-polly.wav, lights on, UNK
lights_on-Emma-weak_fast-polly.wav, lights on, UNK
lights_on-Geraint-weak_fast-polly.wav, lights on, UNK
lights_on-Geraint-strong_slow-polly.wav, lights on, UNK
lights_on-Russell-strong_high_pitch-polly.wav, lights on, UNK
lights_on-Nicole-weak_high_pitch-polly.wav, lights on, UNK
lights_on-Russell-fast_low_pitch-polly.wav, lights on, UNK
lights_on-Joey-strong_fast-polly.wav, lights on, Michael
lights_on-Justin-weak_fast-polly.wav, lights on, UNK
lights_on-Nicole-weak_fast-polly.wav, lights on, UNK
lights_on-Justin-weak_low_pitch-polly.wav, lights on, UNK
lights_on-Brian-fast_low_pitch-polly.wav, lights on, UNK
lights_on-Geraint-weak_slow-polly.wav, lights on, lights
lights_on-Nicole-strong_slow-polly.wav, lights on, UNK
lights_on-Joanna-slow_high_pitch-polly.wav, lights on, lights out
lights_on-Joanna-strong_slow-polly.wav, lights on, lights out
lights_on-Geraint-strong_low_pitch-polly.wav, lights on, UNK
lights_on-Russell-strong_low_pitch-polly.wav, lights on, UNK
lights_on-Ivy-weak_high_pitch-polly.wav, lights on, Mount Sinai
lights_on-Geraint-fast_high_pitch-polly.wav, lights on, UNK
lights_on-Ivy-weak_fast-polly.wav, lights on, UNK
lights_on-Justin-fast_high_pitch-polly.wav, lights on, light on
lights_on-Brian-weak_low_pitch-polly.wav, lights on, like song
lights_on-Justin-fast_low_pitch-polly.wav, lights on, light on
lights_on-Kimberly-weak_low_pitch-polly.wav, lights on, UNK
lights_on-Ivy-weak_low_pitch-polly.wav, lights on, route
lights_on-Geraint-strong_high_pitch-polly.wav, lights on, UNK
lights_on-Joanna-weak_slow-polly.wav, lights on, lights out
lights_on-Nicole-strong_low_pitch-polly.wav, lights on, UNK
lights_on-Brian-strong_high_pitch-polly.wav, lights on, UNK
lights_on-Ivy-weak_slow-polly.wav, lights on, night screen
lights_on-Brian-slow_low_pitch-polly.wav, lights on, UNK
lights_on-Justin-weak_high_pitch-polly.wav, lights on, UNK
lights_on-Amy-weak_fast-polly.wav, lights on, UNK
lights_on-Joanna-weak_fast-polly.wav, lights on, UNK
lights_on-Matthew-weak_fast-polly.wav, lights on, UNK
lights_on-Joey-weak_slow-polly.wav, lights on, UNK
lights_on-Joanna-slow_low_pitch-polly.wav, lights on, lights
lights_on-Amy-strong_slow-polly.wav, lights on, UNK
lights_on-Amy-strong_low_pitch-polly.wav, lights on, UNK
lights_on-Geraint-slow_low_pitch-polly.wav, lights on, UNK
lights_on-Brian-weak_high_pitch-polly.wav, lights on, next song
lights_on-Nicole-strong_high_pitch-polly.wav, lights on, UNK
lights_on-Brian-strong_fast-polly.wav, lights on, what song
lights_on-Brian-weak_slow-polly.wav, lights on, Life song
lights_on-Brian-strong_low_pitch-polly.wav, lights on, like song
lights_on-Joey-weak_high_pitch-polly.wav, lights on, UNK
lights_on-Justin-strong_fast-polly.wav, lights on, UNK
lights_on-Nicole-strong_fast-polly.wav, lights on, UNK
lights_on-Amy-weak_low_pitch-polly.wav, lights on, thanks
lights_on-Russell-fast_high_pitch-polly.wav, lights on, UNK
lights_on-Geraint-slow_high_pitch-polly.wav, lights on, UNK
lights_on-Joey-fast_low_pitch-polly.wav, lights on, UNK
lights_on-Russell-weak_low_pitch-polly.wav, lights on, UNK
lights_on-Joey-weak_fast-polly.wav, lights on, UNK
lights_on-Amy-strong_fast-polly.wav, lights on, UNK
lights_on-Russell-slow_high_pitch-polly.wav, lights on, UNK
lights_on-Kimberly-strong_slow-polly.wav, lights on, UNK
Hey_Computer-Salli-low_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Matthew-fast_low_pitch-polly.wav, Hey Computer, Okay computer
Hey_Computer-Geraint-low_pitch-polly.wav, Hey Computer, Patron pizza
Hey_Computer-Kendra-fast_high_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Russell-fast_low_pitch-polly.wav, Hey Computer, I compute
Hey_Computer-Joanna-weak-polly.wav, Hey Computer, UNK
Hey_Computer-Salli-strong_low_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Joey-fast_low_pitch-polly.wav, Hey Computer, AQ
Hey_Computer-Ivy-fast_high_pitch-polly.wav, Hey Computer, Taco Shack
Hey_Computer-Ivy-weak_high_pitch-polly.wav, Hey Computer, Packers game
Hey_Computer-Kimberly-slow_high_pitch-polly.wav, Hey Computer, Okay computer
Hey_Computer-Emma-high_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Nicole-strong_fast-polly.wav, Hey Computer, a computer
Hey_Computer-Joey-weak_slow-polly.wav, Hey Computer, a computer
Hey_Computer-Joanna-fast_high_pitch-polly.wav, Hey Computer, computer
Hey_Computer-Justin-strong_slow-polly.wav, Hey Computer, UNK
Hey_Computer-Kimberly-strong_slow-polly.wav, Hey Computer, Okay computer
Hey_Computer-Salli-strong_fast-polly.wav, Hey Computer, UNK
Hey_Computer-Ivy-softly-polly.wav, Hey Computer, handkerchief
Hey_Computer-Amy-strong_high_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Amy-strong_slow-polly.wav, Hey Computer, UNK
Hey_Computer-Amy-strong_low_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Brian-high_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Emma-softly-polly.wav, Hey Computer, a computer
Hey_Computer-Joey-strong_fast-polly.wav, Hey Computer, UNK
Hey_Computer-Geraint-weak_low_pitch-polly.wav, Hey Computer, Patron pizza
Hey_Computer-Salli-softly-polly.wav, Hey Computer, a computer
Hey_Computer-Kendra-weak_slow-polly.wav, Hey Computer, hey computer
Hey_Computer-Joanna-weak_fast-polly.wav, Hey Computer, UNK
Hey_Computer-Russell-slow-polly.wav, Hey Computer, hey computer
Hey_Computer-Matthew-weak_high_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Russell-strong_low_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Joanna-slow_low_pitch-polly.wav, Hey Computer, computer
Hey_Computer-Kendra-strong_low_pitch-polly.wav, Hey Computer, Okay computer
Hey_Computer-Kendra-low_pitch-polly.wav, Hey Computer, Okay computer
Hey_Computer-Brian-fast_low_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Brian-strong-polly.wav, Hey Computer, a computer
Hey_Computer-Russell-low_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Kendra-strong_fast-polly.wav, Hey Computer, a computer
Hey_Computer-Emma-weak_fast-polly.wav, Hey Computer, UNK
Hey_Computer-Joey-strong_low_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Nicole-slow-polly.wav, Hey Computer, hey computer
Hey_Computer-Joanna-strong_slow-polly.wav, Hey Computer, computer
Hey_Computer-Justin-fast_high_pitch-polly.wav, Hey Computer, hey computer
Hey_Computer-Russell-weak_high_pitch-polly.wav, Hey Computer, UNK
Hey_Computer-Joanna-fast-polly.wav, Hey Computer, UNK
Hey_Computer-Joey-strong-polly.wav, Hey Computer, computer
Hey_Computer-Salli-weak_fast-polly.wav, Hey Computer, UNK
Hey_Computer-Joanna-weak_high_pitch-polly.wav, Hey Computer, UNK
Hey_Computer-Russell-strong-polly.wav, Hey Computer, a computer
Hey_Computer-Joanna-weak_slow-polly.wav, Hey Computer, UNK
Hey_Computer-Geraint-fast_high_pitch-polly.wav, Hey Computer, take a picture
Hey_Computer-Kimberly-weak_slow-polly.wav, Hey Computer, hey computer
Hey_Computer-Kimberly-fast_low_pitch-polly.wav, Hey Computer, UNK
Hey_Computer-Kendra-strong_high_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Brian-strong_slow-polly.wav, Hey Computer, play some future
Hey_Computer-Ivy-strong-polly.wav, Hey Computer, a computer
Hey_Computer-Joanna-slow-polly.wav, Hey Computer, computer
Hey_Computer-Brian-strong_fast-polly.wav, Hey Computer, a computer
Hey_Computer-Joanna-slow_high_pitch-polly.wav, Hey Computer, computer
Hey_Computer-Kimberly-softly-polly.wav, Hey Computer, a computer
Hey_Computer-Kimberly-high_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Matthew-strong_slow-polly.wav, Hey Computer, Okay computer
Hey_Computer-Russell-weak_low_pitch-polly.wav, Hey Computer, UNK
Hey_Computer-Amy-weak-polly.wav, Hey Computer, UNK
Hey_Computer-Joey-fast-polly.wav, Hey Computer, UNK
Hey_Computer-Ivy-strong_fast-polly.wav, Hey Computer, equity
Hey_Computer-Kimberly-weak_fast-polly.wav, Hey Computer, UNK
Hey_Computer-Joey-strong_slow-polly.wav, Hey Computer, a computer
Hey_Computer-Ivy-strong_slow-polly.wav, Hey Computer, a computer
Hey_Computer-Brian-slow_low_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Nicole-strong-polly.wav, Hey Computer, a computer
Hey_Computer-Kimberly-weak-polly.wav, Hey Computer, UNK
Hey_Computer-Joanna-low_pitch-polly.wav, Hey Computer, computer
Hey_Computer-Nicole-strong_slow-polly.wav, Hey Computer, hey computer
Hey_Computer-Matthew-slow_high_pitch-polly.wav, Hey Computer, hey computer
Hey_Computer-Ivy-fast-polly.wav, Hey Computer, UNK
Hey_Computer-Geraint-weak_slow-polly.wav, Hey Computer, current temperature
Hey_Computer-Geraint-high_pitch-polly.wav, Hey Computer, hey computer
Hey_Computer-Salli-strong_slow-polly.wav, Hey Computer, computer
Hey_Computer-Joey-weak_high_pitch-polly.wav, Hey Computer, UNK
Hey_Computer-Russell-high_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Joanna-weak_low_pitch-polly.wav, Hey Computer, computer
Hey_Computer-Amy-fast_high_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Salli-slow_low_pitch-polly.wav, Hey Computer, a computer
Hey_Computer-Joanna-strong_high_pitch-polly.wav, Hey Computer, computer
Hey_Computer-Justin-weak_high_pitch-polly.wav, Hey Computer, hey computer
Hey_Computer-Amy-strong_fast-polly.wav, Hey Computer, a computer
Hey_Computer-Salli-weak_slow-polly.wav, Hey Computer, a computer
