Ei_Jarbas-Vitoria-weak_slow-polly.wav, Ei Jarbas, e Jarbas
Ei_Jarbas-Vitoria-weak_fast-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Ricardo-strong_high_pitch-polly.wav, Ei Jarbas, eu já vi
Ei_Jarbas-Vitoria-strong_fast-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Cristiano-softly-polly.wav, Ei Jarbas, Jarbas
Ei_Jarbas-Ines-weak_fast-polly.wav, Ei Jarbas, esag
Ei_Jarbas-Ricardo-strong_slow-polly.wav, Ei Jarbas, e Jarbas
Ei_Jarbas-Ines-weak-polly.wav, Ei Jarbas, a jarda
Ei_Jarbas-Vitoria-high_pitch-polly.wav, Ei Jarbas, em janeiro
Ei_Jarbas-Ines-weak_high_pitch-polly.wav, Ei Jarbas, esag
Ei_Jarbas-Ines-fast_low_pitch-polly.wav, Ei Jarbas, esag
Ei_Jarbas-Ricardo-high_pitch-polly.wav, Ei Jarbas, Java
Ei_Jarbas-Ricardo-low_pitch-polly.wav, Ei Jarbas, ejaf
Ei_Jarbas-Cristiano-weak_high_pitch-polly.wav, Ei Jarbas, as armas
Ei_Jarbas-Ines-fast_high_pitch-polly.wav, Ei Jarbas, esag
Ei_Jarbas-Ines-strong_fast-polly.wav, Ei Jarbas, beijar
Ei_Jarbas-Cristiano-fast-polly.wav, Ei Jarbas, eu já vi
Ei_Jarbas-Cristiano-slow_high_pitch-polly.wav, Ei Jarbas, Jarbas
Ei_Jarbas-Cristiano-weak-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Ines-polly.wav, Ei Jarbas, hexágono
Ei_Jarbas-Ricardo-fast-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Ricardo-strong-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Vitoria-softly-polly.wav, Ei Jarbas, Ninjago
Ei_Jarbas-Ricardo-slow_low_pitch-polly.wav, Ei Jarbas, e Jarbas
Ei_Jarbas-Ricardo-weak_slow-polly.wav, Ei Jarbas, pijamas
Ei_Jarbas-Cristiano-weak_low_pitch-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Ines-slow-polly.wav, Ei Jarbas, e Jarbas
Ei_Jarbas-Vitoria-weak_low_pitch-polly.wav, Ei Jarbas, UNK
Ei_Jarbas-Vitoria-weak_high_pitch-polly.wav, Ei Jarbas, em janeiro
Ei_Jarbas-Vitoria-slow_low_pitch-polly.wav, Ei Jarbas, em jarba
Ei_Jarbas-Ines-strong_low_pitch-polly.wav, Ei Jarbas, beijar-me
Ei_Jarbas-Ines-weak_low_pitch-polly.wav, Ei Jarbas, jarda
Ei_Jarbas-Ines-softly-polly.wav, Ei Jarbas, esag
Ei_Jarbas-Ricardo-slow-polly.wav, Ei Jarbas, e Jarbas
Hey_Tralhas-Vitoria-fast_high_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ines-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Cristiano-strong_slow-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Cristiano-weak_slow-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ines-weak-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ines-strong_slow-polly.wav, Hey Tralhas, entralhar
Hey_Tralhas-Cristiano-weak_low_pitch-polly.wav, Hey Tralhas, comprar
Hey_Tralhas-Ines-high_pitch-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ines-strong_high_pitch-polly.wav, Hey Tralhas, Itália
Hey_Tralhas-Vitoria-strong_low_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Vitoria-weak-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ricardo-weak_slow-polly.wav, Hey Tralhas, Rita
Hey_Tralhas-Cristiano-high_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Vitoria-polly.wav, Hey Tralhas, Itália
Hey_Tralhas-Ines-slow_low_pitch-polly.wav, Hey Tralhas, entralhar
Hey_Tralhas-Cristiano-strong_low_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Vitoria-high_pitch-polly.wav, Hey Tralhas, Itália
Hey_Tralhas-Ricardo-weak_fast-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Vitoria-low_pitch-polly.wav, Hey Tralhas, entrada
Hey_Tralhas-Cristiano-strong_fast-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ricardo-low_pitch-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Cristiano-slow_low_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Vitoria-slow_high_pitch-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Vitoria-weak_slow-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ricardo-strong-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ricardo-slow-polly.wav, Hey Tralhas, e tralha
Hey_Tralhas-Ricardo-weak_high_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ricardo-fast-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Cristiano-fast-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ricardo-softly-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ines-slow_high_pitch-polly.wav, Hey Tralhas, entralhar
Hey_Tralhas-Cristiano-strong_high_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ricardo-strong_slow-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Cristiano-low_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Cristiano-weak-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ricardo-slow_high_pitch-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Vitoria-slow-polly.wav, Hey Tralhas, entrada
Hey_Tralhas-Ines-slow-polly.wav, Hey Tralhas, entralhar
Hey_Tralhas-Cristiano-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Vitoria-slow_low_pitch-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ricardo-strong_fast-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Vitoria-softly-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Cristiano-fast_low_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Cristiano-weak_fast-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ricardo-high_pitch-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Cristiano-slow_high_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Vitoria-fast_low_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ricardo-slow_low_pitch-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Vitoria-weak_fast-polly.wav, Hey Tralhas, pintar
Hey_Tralhas-Ines-strong_fast-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ricardo-fast_high_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Cristiano-weak_high_pitch-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Vitoria-fast-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ricardo-weak_low_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Vitoria-weak_low_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ricardo-weak-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ines-softly-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Vitoria-strong_high_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Cristiano-softly-polly.wav, Hey Tralhas, entrada
Hey_Tralhas-Cristiano-fast_high_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ines-weak_fast-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ines-low_pitch-polly.wav, Hey Tralhas, entrada
Hey_Tralhas-Cristiano-slow-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ines-strong_low_pitch-polly.wav, Hey Tralhas, Itália
Hey_Tralhas-Ricardo-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ines-weak_slow-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Cristiano-strong-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ines-strong-polly.wav, Hey Tralhas, entrada
Hey_Tralhas-Ines-weak_low_pitch-polly.wav, Hey Tralhas, entrada
Hey_Tralhas-Ines-fast_low_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Vitoria-weak_high_pitch-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ines-fast_high_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Vitoria-strong-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ricardo-strong_low_pitch-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ines-weak_high_pitch-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Ines-fast-polly.wav, Hey Tralhas, entrar
Hey_Tralhas-Vitoria-strong_slow-polly.wav, Hey Tralhas, e trabalho
Hey_Tralhas-Ricardo-strong_high_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Ricardo-fast_low_pitch-polly.wav, Hey Tralhas, UNK
Hey_Tralhas-Vitoria-strong_fast-polly.wav, Hey Tralhas, UNK
Ó_Tralhas-Ricardo-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ines-polly.wav, Ó Tralhas, outra
Ó_Tralhas-Ricardo-strong_low_pitch-polly.wav, Ó Tralhas, comprar
Ó_Tralhas-Vitoria-weak_fast-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-weak_low_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Vitoria-weak_slow-polly.wav, Ó Tralhas, otária
Ó_Tralhas-Ricardo-weak_fast-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Vitoria-strong_high_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-fast_high_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ricardo-slow-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ricardo-weak_high_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ines-weak-polly.wav, Ó Tralhas, otária
Ó_Tralhas-Cristiano-fast-polly.wav, Ó Tralhas, outra
Ó_Tralhas-Ines-low_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-strong-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ricardo-weak-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-slow-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Vitoria-weak-polly.wav, Ó Tralhas, o trabalho
Ó_Tralhas-Cristiano-weak_slow-polly.wav, Ó Tralhas, otárias
Ó_Tralhas-Ines-weak_low_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ines-strong_low_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Vitoria-fast_low_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-fast_low_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-low_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Vitoria-weak_high_pitch-polly.wav, Ó Tralhas, otária
Ó_Tralhas-Vitoria-slow-polly.wav, Ó Tralhas, otária
Ó_Tralhas-Cristiano-strong_fast-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Vitoria-softly-polly.wav, Ó Tralhas, outra
Ó_Tralhas-Ricardo-slow_low_pitch-polly.wav, Ó Tralhas, o talho
Ó_Tralhas-Ines-slow-polly.wav, Ó Tralhas, o tralha
Ó_Tralhas-Cristiano-strong_slow-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-softly-polly.wav, Ó Tralhas, outra
Ó_Tralhas-Ines-weak_high_pitch-polly.wav, Ó Tralhas, atrás
Ó_Tralhas-Ricardo-strong_fast-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ricardo-strong_high_pitch-polly.wav, Ó Tralhas, entrar
Ó_Tralhas-Ines-strong_high_pitch-polly.wav, Ó Tralhas, entrar
Ó_Tralhas-Vitoria-fast_high_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-weak-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ricardo-fast_low_pitch-polly.wav, Ó Tralhas, hotel
Ó_Tralhas-Ricardo-weak_slow-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ricardo-softly-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-slow_low_pitch-polly.wav, Ó Tralhas, o tralha
Ó_Tralhas-Ricardo-weak_low_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-high_pitch-polly.wav, Ó Tralhas, outra
Ó_Tralhas-Ines-weak_slow-polly.wav, Ó Tralhas, o tralha
Ó_Tralhas-Ines-strong_slow-polly.wav, Ó Tralhas, ou tralha
Ó_Tralhas-Vitoria-strong_fast-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ricardo-fast-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Vitoria-strong-polly.wav, Ó Tralhas, o trabalho
Ó_Tralhas-Vitoria-slow_low_pitch-polly.wav, Ó Tralhas, WhatsApp
Ó_Tralhas-Vitoria-polly.wav, Ó Tralhas, outra vez
Ó_Tralhas-Ines-softly-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Vitoria-fast-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-strong_high_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-weak_fast-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ricardo-strong_slow-polly.wav, Ó Tralhas, trabalho
Ó_Tralhas-Ines-strong_fast-polly.wav, Ó Tralhas, outra
Ó_Tralhas-Ricardo-low_pitch-polly.wav, Ó Tralhas, alterar
Ó_Tralhas-Ines-slow_high_pitch-polly.wav, Ó Tralhas, o tralha
Ó_Tralhas-Ines-strong-polly.wav, Ó Tralhas, outra
Ó_Tralhas-Cristiano-slow_high_pitch-polly.wav, Ó Tralhas, o tralha
Ó_Tralhas-Cristiano-weak_high_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ines-fast_low_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ricardo-fast_high_pitch-polly.wav, Ó Tralhas, outra
Ó_Tralhas-Vitoria-slow_high_pitch-polly.wav, Ó Tralhas, outra vez
Ó_Tralhas-Ines-fast-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Vitoria-strong_slow-polly.wav, Ó Tralhas, horários
Ó_Tralhas-Ines-slow_low_pitch-polly.wav, Ó Tralhas, o tralha
Ó_Tralhas-Ines-fast_high_pitch-polly.wav, Ó Tralhas, otária
Ó_Tralhas-Vitoria-high_pitch-polly.wav, Ó Tralhas, outra vez
Ó_Tralhas-Vitoria-strong_low_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-strong_low_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ricardo-slow_high_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ines-high_pitch-polly.wav, Ó Tralhas, otária
Ó_Tralhas-Ines-weak_fast-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Vitoria-weak_low_pitch-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Cristiano-polly.wav, Ó Tralhas, UNK
Ó_Tralhas-Ricardo-high_pitch-polly.wav, Ó Tralhas, alterar
Ó_Tralhas-Vitoria-low_pitch-polly.wav, Ó Tralhas, outra vez
Ó_Tralhas-Ricardo-strong-polly.wav, Ó Tralhas, alterar
Beatas-Cristiano-slow_low_pitch-polly.wav, Beatas, UNK
Beatas-Ines-weak-polly.wav, Beatas, enviado
Beatas-Ines-weak_low_pitch-polly.wav, Beatas, viado
Beatas-Cristiano-high_pitch-polly.wav, Beatas, beata
Beatas-Vitoria-high_pitch-polly.wav, Beatas, UNK
Beatas-Cristiano-weak_fast-polly.wav, Beatas, UNK
Beatas-Ines-polly.wav, Beatas, viado
Beatas-Cristiano-strong_slow-polly.wav, Beatas, UNK
Beatas-Cristiano-softly-polly.wav, Beatas, beata
Beatas-Ines-weak_high_pitch-polly.wav, Beatas, viado
Beatas-Ines-strong_slow-polly.wav, Beatas, beatas
Beatas-Ines-strong-polly.wav, Beatas, beata
Beatas-Ricardo-weak_high_pitch-polly.wav, Beatas, UNK
Beatas-Ricardo-strong_slow-polly.wav, Beatas, UNK
Beatas-Ines-low_pitch-polly.wav, Beatas, viado
Beatas-Vitoria-strong_high_pitch-polly.wav, Beatas, UNK
Beatas-Cristiano-weak-polly.wav, Beatas, beata
Beatas-Vitoria-strong_low_pitch-polly.wav, Beatas, UNK
Beatas-Vitoria-weak_low_pitch-polly.wav, Beatas, UNK
Beatas-Ricardo-strong_low_pitch-polly.wav, Beatas, UNK
Beatas-Vitoria-strong-polly.wav, Beatas, UNK
Beatas-Vitoria-weak_high_pitch-polly.wav, Beatas, UNK
Beatas-Ricardo-fast-polly.wav, Beatas, UNK
Beatas-Ricardo-high_pitch-polly.wav, Beatas, UNK
Beatas-Vitoria-fast-polly.wav, Beatas, UNK
Beatas-Cristiano-low_pitch-polly.wav, Beatas, UNK
Beatas-Ricardo-polly.wav, Beatas, Beato
Beatas-Cristiano-fast_high_pitch-polly.wav, Beatas, UNK
Beatas-Ricardo-weak_slow-polly.wav, Beatas, UNK
Beatas-Ricardo-strong_fast-polly.wav, Beatas, UNK
Beatas-Ines-fast_high_pitch-polly.wav, Beatas, enviar
Beatas-Ricardo-softly-polly.wav, Beatas, UNK
Beatas-Ricardo-fast_low_pitch-polly.wav, Beatas, UNK
Beatas-Cristiano-polly.wav, Beatas, beata
Beatas-Vitoria-slow-polly.wav, Beatas, beata
Beatas-Cristiano-fast-polly.wav, Beatas, UNK
Beatas-Vitoria-slow_high_pitch-polly.wav, Beatas, UNK
Beatas-Ricardo-strong_high_pitch-polly.wav, Beatas, UNK
Beatas-Ines-strong_high_pitch-polly.wav, Beatas, beata
Beatas-Ines-weak_slow-polly.wav, Beatas, viado
Beatas-Vitoria-low_pitch-polly.wav, Beatas, UNK
Beatas-Vitoria-strong_fast-polly.wav, Beatas, UNK
Beatas-Ricardo-low_pitch-polly.wav, Beatas, gato
Beatas-Cristiano-weak_slow-polly.wav, Beatas, gatas
Beatas-Cristiano-strong-polly.wav, Beatas, UNK
Beatas-Ines-fast_low_pitch-polly.wav, Beatas, enviar
Beatas-Ricardo-fast_high_pitch-polly.wav, Beatas, UNK
Beatas-Ricardo-strong-polly.wav, Beatas, UNK
Beatas-Ricardo-weak_low_pitch-polly.wav, Beatas, UNK
Beatas-Ines-slow_high_pitch-polly.wav, Beatas, beatas
Beatas-Ines-fast-polly.wav, Beatas, enviar
Beatas-Vitoria-fast_high_pitch-polly.wav, Beatas, UNK
Beatas-Ricardo-weak_fast-polly.wav, Beatas, UNK
Beatas-Cristiano-slow_high_pitch-polly.wav, Beatas, beata
Beatas-Cristiano-strong_low_pitch-polly.wav, Beatas, UNK
Beatas-Vitoria-polly.wav, Beatas, UNK
Beatas-Ines-weak_fast-polly.wav, Beatas, enviar
Beatas-Ricardo-slow-polly.wav, Beatas, Beatriz
Beatas-Vitoria-slow_low_pitch-polly.wav, Beatas, UNK
Beatas-Cristiano-fast_low_pitch-polly.wav, Beatas, UNK
Beatas-Ricardo-weak-polly.wav, Beatas, UNK
Beatas-Cristiano-slow-polly.wav, Beatas, beata
Beatas-Ines-strong_low_pitch-polly.wav, Beatas, viado
Beatas-Ricardo-slow_low_pitch-polly.wav, Beatas, UNK
Beatas-Vitoria-weak-polly.wav, Beatas, UNK
Beatas-Ricardo-slow_high_pitch-polly.wav, Beatas, beatas
Beatas-Ines-slow-polly.wav, Beatas, beatas
Beatas-Cristiano-weak_low_pitch-polly.wav, Beatas, piada
Beatas-Ines-slow_low_pitch-polly.wav, Beatas, viado
Beatas-Vitoria-weak_slow-polly.wav, Beatas, beata
Beatas-Vitoria-softly-polly.wav, Beatas, UNK
Beatas-Ines-softly-polly.wav, Beatas, viado
Beatas-Vitoria-weak_fast-polly.wav, Beatas, UNK
Beatas-Vitoria-strong_slow-polly.wav, Beatas, UNK
Beatas-Cristiano-strong_high_pitch-polly.wav, Beatas, UNK
Beatas-Ines-high_pitch-polly.wav, Beatas, enviado
Beatas-Cristiano-weak_high_pitch-polly.wav, Beatas, beata
Beatas-Ines-strong_fast-polly.wav, Beatas, enviar
Beatas-Cristiano-strong_fast-polly.wav, Beatas, UNK
Beatas-Vitoria-fast_low_pitch-polly.wav, Beatas, UNK
Ó_Flôr-Ines-slow_high_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ines-softly-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ines-low_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Vitoria-weak_slow-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ricardo-weak_slow-polly.wav, Ó Flôr, UNK
Ó_Flôr-Vitoria-slow_high_pitch-polly.wav, Ó Flôr, off
Ó_Flôr-Vitoria-low_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ricardo-fast_high_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ines-polly.wav, Ó Flôr, UNK
Ó_Flôr-Vitoria-strong-polly.wav, Ó Flôr, UNK
Ó_Flôr-Vitoria-fast-polly.wav, Ó Flôr, UNK
Ó_Flôr-Vitoria-polly.wav, Ó Flôr, UNK
Ó_Flôr-Cristiano-fast-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ricardo-low_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ricardo-softly-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ricardo-high_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ines-weak_high_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ricardo-fast-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ricardo-weak-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ines-strong_slow-polly.wav, Ó Flôr, UNK
Ó_Flôr-Cristiano-slow_high_pitch-polly.wav, Ó Flôr, flor
Ó_Flôr-Vitoria-strong_slow-polly.wav, Ó Flôr, ovos
Ó_Flôr-Cristiano-softly-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ines-strong_fast-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ricardo-strong_low_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Vitoria-fast_high_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ricardo-strong_high_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ines-weak_low_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Cristiano-high_pitch-polly.wav, Ó Flôr, flor
Ó_Flôr-Cristiano-strong-polly.wav, Ó Flôr, UNK
Ó_Flôr-Cristiano-low_pitch-polly.wav, Ó Flôr, flor
Ó_Flôr-Ines-strong-polly.wav, Ó Flôr, UNK
Ó_Flôr-Vitoria-high_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Vitoria-weak_fast-polly.wav, Ó Flôr, UNK
Ó_Flôr-Vitoria-slow-polly.wav, Ó Flôr, off
Ó_Flôr-Ines-high_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ricardo-fast_low_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Ines-weak_slow-polly.wav, Ó Flôr, UNK
Ó_Flôr-Vitoria-slow_low_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Cristiano-strong_low_pitch-polly.wav, Ó Flôr, flor
Ó_Flôr-Vitoria-strong_high_pitch-polly.wav, Ó Flôr, UNK
Ó_Flôr-Cristiano-fast_high_pitch-polly.wav, Ó Flôr, UNK
